answer,question
Satyendra Nath Bose,"Professor Satyendra Nath Bose (1 January 1894 – 4 February 1974) was an Indian mathematician and physicist. He is noted for work with Albert Einstein in developing a theory about the gas-like properties of electromagnetic radiation, among other things. He is best known for his work on quantum mechanics in the early 1920s, which laid down the basics for Bose–Einstein statistics and the theory of the Bose–Einstein condensate. The boson, a kind of particle of matter, is named in his honor. He was a member of the Royal Society and was awarded India's second highest civilian award called the Padma Vibhushan in 1954."
Hendrik Lorentz,"Hendrik Antoon Lorentz (18 July 1853 – 4 February 1928) was a Dutch physicist and mathematician. In 1902, he was awarded the Nobel Prize in Physics together with Pieter Zeeman for the discovery and theoretical explanation of the Zeeman effect. He also derived the transformation equations that were later used by Albert Einstein to describe space and time."
Baryon,"Baryons are composite particles which are made of three quarks. Since all quarks have a spin of 1/2, a baryon will always have a spin of either 1/2 or 3/2 (the spins can cancel out). The 3/2 spin baryons are extremely unstable, and only live for 10-23 seconds. After that, they will jump down to a lower energy state by releasing photons containing energy. These 3/2 spin baryons are known as higher energy resonances. the lowest energy state of a baryon is a simple 1/2 spin."
Gamma function,"In mathematics, the gamma function (Γ(z)) is an extension of the factorial function to positive real and complex numbers. The argument of the function is shifted down by one. This means that if n is a positive integer"
Calorimeter,A calorimeter is an apparatus that measures the amount of energy contained in a particular substance.
Giant magnetoresistance,Giant magnetoresistance (GMR) is a very small magnetic effect found in thin layers of iron and other materials. It is used to read and write information in hard drives.
Earthquake,"Earthquakes (or quakes, tremors) are shaking caused by sudden movements of rocks in the Earth's crust. They can be extremely violent."
Java (programming language),"Java is a programming language. It was first developed by James Gosling at Sun Microsystems, which is now a part of Oracle Corporation. It was released in 1995 as a part of Sun Microsystems' Java platform. The language has developed much of its syntax from C and C++. Java applications are usually compiled to bytecode (class file) that can run on any Java Virtual Machine (JVM)."
Wind,"Wind is the flow of gases. On Earth, wind is mostly the movement of air. In outer space, solar wind is the movement of gases or particles from the sun through space. The strongest winds seen on a planet in our solar system are on Neptune and Saturn."
Determinant,"Linear algebra uses matrices. In that context, a determinant is a mathematical function that allows to associate certain matrices with a scalar. Only square matrices have determinants. That is to say that the matrix needs to have the same number of columns as it has rows."
Tin,Tin is a chemical element with symbol Sn (for stannum) and atomic number 50. It is in Group 14 on the periodic table. It is not radioactive.
Magma,"In volcanology, magma is melted rock that is under the ground. There are many types of magma. One is called felsic magma. Felsic magma is thick and has lots of a mineral called silica. It mostly makes light-coloured rocks. Another type is called mafic magma, which is runny and has less silica. It usually makes dark-coloured rocks. A third type is intermediate magma. It is like both the other types."
Game theory,"Game theory is the study of how and why people make decisions. Specifically, it is ""the study of mathematical models of conflict and cooperation between intelligent rational decision-makers"". An alternative term suggested ""as a more descriptive name for the discipline"" is interactive decision theory."
Mercury (element),"Mercury, also known as quicksilver or hydrargyrum, is a chemical element. Its symbol on the periodic table is Hg, and its atomic number is 80. Its atomic mass is 200.59"
Flowering plant,"Flowering plants (also called Angiosperms or Magnoliophyta) are the dominant land plants today. Together with the gymnosperms they make up the seed plants. They are different from the gymnosperms because angiosperms bear flowers, and have enclosed ovules. Gymnosperms bear naked seeds on cones or open structures."
Tax,Tax is money that people have to pay to the government.
Phenol,"Phenol is the organic compound with formula C6H5OH. It is a white solid. It has an OH group (hydroxyl group) bonded to a benzene ring. It is an alcohol. Because the aromatic group attracts electrons, it is quite acidic."
Ceres (dwarf planet),"Ceres, also known as 1 Ceres, is the smallest dwarf planet in the Solar System and the only one in the main asteroid belt."
Obsidian,"Obsidian is a natural volcanic glass found as a kind of igneous rock. It is produced when lava high in silica (SiO2) cools rapidly, and solidifies without time for crystal growth. Because there is no crystal structure, obsidian blade edges can reach almost molecular thinness, leading to its ancient use as arrowheads, and its modern use as surgical scalpel blades."
Spinal cord,The spinal cord is a bundle of nerves that go to and from the brain. It is enclosed in and protected by the bony vertebral column. The main function of the spinal cord is transmission of neural inputs between the periphery and the brain.
Lava,"Lava is magma that flows onto the Earth's surface. Like magma, lava can be either viscous (~thick) or fluid (~thin). Blocky lava is so thick and slow that it barely moves along the ground. Other types of lava, like pahoehoe, aa, and pillow lava, are thinner and flow faster."
Antoine Lavoisier,"Antoine-Laurent de Lavoisier (26 August 1743 – 8 May 1794) was a French nobleman, chemist and biologist. He is often called the ""Father of Modern Chemistry"". His work is an important part of the histories of chemistry and biology. It also contributed to the beginnings of atomic theory. He was the first scientist to recognise and name the elements hydrogen and oxygen. He was executed, as were hundreds of other nobles, during the French Revolution."
James Clerk Maxwell,"James Clerk Maxwell (born 13 June 1831 in Edinburgh – died 5 November 1879) was a Scottish mathematician, physicist and discoverer of Maxwell's equations."
Impulse (physics),"In classical mechanics, an impulse is defined as the integral of a force with respect to time:"
Asbestos,"Asbestos is a set of six silicate minerals which occur naturally. White asbestos makes up 95% of the asbestos found in buildings. It occurs in all parts of the world. It is fibrous, heat resistant and non flammable. These properties made it very attractive as a component in building materials and other products such as insulation and automobile brake pads. People have used asbestos throughout history. Ancient Egyptian people used asbestos. Asbestos is extremely dangerous for human health, as it can cause lung diseases such as asbestosis, emphysema and mesothelioma if the fibres get loose in the air. It can also harm animals such as livestock or pets."
Carbon nanotube,"A carbon nanotube is an allotrope of carbon that is shaped like a tube of carbon atoms. Carbon nanotubes are very tough and hard to break, but still relatively light. Because of their high strength, carbon nanotubes may one day be used for bulletproof armor and other uses needing hard, lightweight materials. Some carbon nanotubes also let electricity through them. Certain nanotubes may be up to 1,000 times better at conducting electricity than metals like copper and silver."
Galapagos Islands,Land Iguana.jpg|thumb|The Galápagos land iguana basking on a rock
Power (physics),"In physics, power (symbol: P) is how fast work is done or energy is given from one thing to another. In the SI system of measurement, power is measured in watts (symbol: W)."
Hydrogen,"Hydrogen is a chemical element.  Its atomic number is 1, which makes it the simplest, known element in the entire universe. Hydrogen is the true primordial substance, the first atom produced after the big bang. All chemical elements were formed from hydrogen by the processes of nuclear fusion."
Solubility,"Solubility is the ability of a substance (the solute), to mix into a liquid (the solvent)."
Roger Bacon,Roger-bacon-statue.jpg|thumb|250px|Statue of Roger Bacon
Turbulence,Turbulence or turbulent flow is a violent or unsteady movement of fluids like air and water. Most motion of fluids in real life (outside laboratories) is turbulent.
Pythagoras,"Pythagoras of Samos was a famous Greek mathematician and philosopher, ( ). He is known best for the proof of the important Pythagorean theorem, which is about right triangles. He started a group of mathematicians, called the Pythagoreans, who worshiped numbers and lived like monks. He was an influence for Plato."
Oxygen,"Oxygen (O) is a chemical element. In nature, oxygen is a gas with no color or smell. Oxygen is a very important element because it is a part of the air people  breathe and the water people drink. Because of this, oxygen supports life. Many living things (including humans) need oxygen to live and breathe, though it is poisonous to some forms of life. In liquid state of matter, oxygen is light blue."
Elephant,"Elephants are the largest living land mammals. The largest elephant that was ever recorded was one shot and killed in Angola, 1974. It weighed 27,060 pounds (13.5 tons) and stood 13 feet, 8 inches tall."
Fructose,"Fructose is a simple sugar (monosaccharide) found in many foods. It is also one of the three most important blood sugars, the other two being glucose and galactose. Honey; tree fruits; berries; melons; and some root vegetables, such as beets, sweet potatoes, parsnips and onions, contain fructose, usually with sucrose and glucose."
Dyson sphere,"A Dyson sphere is an idea about a structure that surrounds a star, first thought up by physicist Freeman Dyson, and then used in some science fiction works. There are at least three types of Dyson spheres  : "
Sigma,"Sigma (uppercase/lowercase Σ σ ς), is the letter of the Greek alphabet, used to represent the ""s"" sound in Ancient and Modern Greek. In the system of Greek numerals, it has a value of 200. Letters that came from it include the Roman S and Cyrillic С."
Axon,"The axon is the part of a neuron that sends the signal. Axons are long, thin and tendril-like."
Telomerase,"Telomerase is an RNA protein which is an enzyme. It adds DNA sequence repeats (""TTAGGG"" in all vertebrates) to the end of DNA strands in the telomere regions."
Human papillomavirus,"The Human papillomavirus is a virus that can infect the skin or mucous membranes (like the genitals, or inside the mouth) of animals and humans. They cause warts. Some of them may cause cancer. There are over 100 different virus types in this group. About 30 virus types can be transmitted sexually. About 12-15 can cause cancer."
Genetic algorithm,Genetic algorithms are a kind of algorithm used to find approximations in search problems. Genetic algorithms are a class of evolutionary algorithms that use ideas inspired by evolution to find a solution.
Konrad Lorenz,"Konrad Zacharias Lorenz (Vienna, 7 November 1903 – Vienna, 27 February 1989) was an Austrian zoologist, naturalist, ornithologist and Nobel Prize winner. He is one of the founders of studies on animal behaviour (ethology). Lorenz studied instinctive behavior in animals, especially in Greylag geese and jackdaws."
Integer,Integers are the natural numbers and their negatives.
Hubble Space Telescope,"The Hubble Space Telescope (HST) is one of the most famous telescopes. It is the first optical space observatory telescope.  Being above the atmosphere means it can see the sky more clearly than a telescope on the ground, because the atmosphere blurs starlight before it reaches Earth. Named after the astronomer Edwin Hubble, the Hubble Space Telescope can observe 24 hours a day. The main mirror is 94.5 inches (2.4 meters) across.  The telescope can take pictures of things so far away it would be nearly impossible to see them from anywhere else."
Speed of light,"The speed of light is the speed at which light travels in empty space. Physicists often use the letter c to denote the speed of light. It has the value 299,792,458 meters per second (or about 186,282.397 miles per second). A photon (particle of light) travels at this speed in a vacuum."
Circadian rhythm,"A circadian rhythm is a rhythm that repeats about every 24 hours.  Plants and animals have these built-in cycles which allow them to flower at the right time, sleep at the right time etc.  The word ""circadian"" comes from the Latin circa, ""around"", and diem or dies, ""day"", meaning ""about a day."" The study of biological time-keeping rhythms such as daily, tidal, weekly, seasonal, and annual rhythms, is called chronobiology."
Inflation (cosmology),"In physical cosmology, the idea of  inflation is a proposed theory that would explain many features of the present-day universe, including the existence of large-scale structures such as galaxies. The theory was proposed by Alan Guth in the 1970s."
River,"A river is a stream of water that flows through a ""channel"" (or passage) in the surface of the ground. The passage where the river flows is called the riverbed and the earth on each side is called a riverbank. A river begins on high ground or in hills or mountains and flows down from the high ground to the lower ground, because of gravity. A river begins as a small stream and gets bigger, the farther that it flows."
Asteroid,An asteroid is a small object in the Solar System that travels around the Sun. It is like a planet but smaller. They range from less than 1 km (over 1000 feet) to 600 miles (1000 km) across. A few asteroids have asteroid moons.
Diophantine equation,"A Diophantine equation is an equation that only takes integer coefficients, and that can be written as f(x_1, x_2, x_3, . . ., x_n) = 0, where f is a polynomial. Diophantine analysis is a branch of mathematical analysis, concerned with such equations. Typical questions include:"
Smallpox,"Smallpox was a very bad disease with a high mortality rate. It is caused by a virus. There are two different species of viruses that can cause the disease. They are Variola major and Variola minor. Some people also call smallpox Variola, named after the viruses' scientific name."
Antimatter,"Antimatter is a term in particle physics. Antimatter is a material composed of antiparticles. These have the same mass as particles of ordinary matter but have opposite charge and properties, such as lepton and baryon number."
Spontaneous symmetry breaking,"Spontaneous symmetry breaking is a way symmetry breaks in a physical system. The underlying laws do not change, but the system as a whole changes. Symmetry breaking in physics occurs when a system is crossing a critical point. Small fluctuations decide the system's fate, by determining which branch is taken."
Glycogen,Glycogen (commonly known as animal starch although this name is inaccurate) is a polysaccharide that is the principal storage form of glucose in animal cells.
Accretion disc,"An accretion disc (or accretion disk) is an astronomical term. It describes a disc of material being drawn in by gravity to a centre of mass, such as a star or black hole. As the material comes in, it spins round the central body and radiates energy."
Sphere,"A sphere is a shape in space that is like the surface of a ball. Most of the time, the terms ball and sphere are used as the same. But in mathematics, the precise (exact) definition only allows points in the 3 dimensional space which are uniformly and symmetrically located at a fixed length called radius of the sphere."
Carbon,"Carbon is a very important chemical element, with a chemical symbol of C. All known life on Earth is made from it. Carbon has atomic mass 12 and atomic number 6. It is non-metallic, meaning that it is not a metal."
8 (number),"The number eight is a natural number that comes after the number seven and before the number nine. In Roman numerals, it is VIII."
Salt,:Salt may also refer to table salt (sodium chloride) or iodised salt.
Talc,"Talc (derived from the Arabic: talk) is a mineral, the standard for hardness grade 1 in the Mohs scale. Your fingernail will easily scratch it. Talc is composed of hydrated magnesium silicate with the chemical formula Mg3Si4O10(OH)2. Talc and pyrophyllite are very similar, but pyrophyllite may be slightly harder."
Aquarius (constellation),"Aquarius is a constellation of the zodiac. It sits between Capricornus and Pisces. Its name is Latin for ""water-carrier"" or ""cup-carrier"", and its symbol is  (Unicode ♒), which represents water.  The astronomer Ptolemy listed Aquarius when he made a list of 48 constellations.  It is also one of the 88 modern constellations."
Cytochrome,Cytochromes are haemoproteins (or proteins containing haem groups). They make ATP by electron transport.
Monsanto process,"The Monsanto process is a way of making acetic acid. It uses a catalyst to add a carbonyl group to methanol. This process operates at a pressure of 30&ndash;60 atm and a temperature of 150&ndash;200 °C. It gives a selectivity greater than 99%. It was developed 1960 by German chemists working at BASF. Chemists at Monsanto introduced a new catalyst system in 1966. Today, chemists make acetic acid by the Cativa process, a similar iridium-based process developed by BP Chemicals Ltd which is more economical and environmentally friendly. So, the Monsanto process is not used very much in industry."
Drosophila melanogaster,"Drosophila melanogaster is a small, common fly found near rotting fruit. It has been in use for over a century to study genetics and lends itself well to behavioral studies."
Aluminum,{{Elementbox
Permutation,A permutation is a single way of arranging a group of objects.  It is useful in mathematics.
Mediterranean Sea,"The Mediterranean Sea is the body of water that separates Europe, Africa and Asia."
Silicon,Silicon is element 14 on the periodic table. Its symbol is Si.
Stephen Hawking,"Stephen Hawking, CH CBE FRS (born 8 January 1942) is an English theoretical physicist and mathematician. He was born in Oxford. In 1950, he moved to St Albans, Hertfordshire. He is one of the world's leading theoretical physicists. Hawking has written many science books for the public,  people who are not scientists."
Acceleration,"Acceleration is a measure of how fast velocity changes. Acceleration is the change of velocity divided by the change of time. Acceleration is a vector, and therefore includes both a size and a direction."
Encephalitis,"Encephalitis is a disease of the brain. It is when there is an inflammation of the brain. This is most often caused by viruses, but may also be caused by bacteria. The brain is damaged when the inflamed brain parts push against the skull. Encephalitis can be fatal. Encephalitis can be caused by diseases such as syphilis or rabies."
Vitamin A,"Vitamin A is a vitamin. Vitamin A can not be made by the body itself, and must be taken in from food. Carrots and liver are both rich in vitamin A. "
Exception handling,"In computing, an exception is a special situation where the program cannot do things the way it usually would and is forced to do something else instead. One layer of the system uses an exception to give another layer information about special states the system is currently in. The different layers of software or hardware have contracts, that tell what can be expected; this is generally known as Programming by Contract. In the context of exception handling, a program is said to be exception-safe, if exceptions that occur will not produce side-effects (such as memory leaks), will not change stored data so that it becomes unreadable, or generate output that is invalid. There are different levels of exception safety:"
Arabidopsis thaliana,"Arabidopsis thaliana is a small flowering plant native to Europe, Asia, and northwestern Africa. It is widely used as a model organism in plant genetics. Arabidopsis is a member of the mustard (Brassicaceae) family, which includes cultivated species such as cabbage and radish."
Disproportionation,"Disproportionation happens when an electron from one atom is taken by another one, making two different chemicals. It is the opposite of symproportionation, which is the giving of electrons from one atom to another atom, It makes one chemical from two different chemicals."
Yeast,"Yeast are microorganisms. They are single-celled  fungi. There are about 1,500 different species of yeast. Most reproduce asexually, by budding. Some use binary fission to reproduce asexually."
Hydrogen atom,A hydrogen atom is an atom of the chemical element hydrogen.
Louis de Broglie,"Louis Victor Pierre Raymond, (7th) Duke of Broglie (August 15, 1892 – March 19, 1987) was a French physicist. He discovered that electrons are similar to both particles and waves. He won the Nobel Prize in Physics in 1929."
Lorentz force,Lorentz's law is a law discovered by the Dutch physicist Hendrik Antoon Lorentz. Lorentz's law defines force that acts on moving charged particles in an electromagnetic field. Force consists of magnetic force and electric force.
Myelin,"Myelin is a substance that forms the coating of axons in the brain and the rest of the central nervous system. This coating is also known as the myelin sheath. It is a substance made of about 80% lipid and 20% protein. Its main function is to speed the relay of electricity messages in the nervous system. It is milky white and slippery in appearance and texture, giving rise to the term white matter in the brain."
Carbocation,"Carbocationstructure.png|thumb|120px|right|tert-butyl cation, demonstrating planar geometry"
Myasthenia gravis,Myasthenia gravis is a rare autoimmune disease. It causes weak muscles and tiredness. Stress and hot weather can make the symptoms worse. It is treated with acetylcholinesterase inhibitors or immunosuppressants.
Rabies,"Rabies is a neurotropic virus, viral zoonotic disease that causes acute encephalitis."
Barbara McClintock,"Barbara McClintock (June 16, 1902 – September 2, 1992) was an American biologist. She was a distinguished cytogeneticist who worked on inheritance in maize. McClintock was awarded the 1983 Nobel Prize in Physiology or Medicine."
Large intestine,"The large intestine is between the small intestine and the rectum. It connects the small intestine to the rectum and anus. It is about 1.5 meters long or 5 feet. It is shorter than the small intestine. But its diameter is bigger, so its name is large intestine.It is composed of the appendix, cecum, ascending, transverse and descending colon, sigmoid, rectum, and anal sphincter. The long intestine functions to absorb water, form feces, move/store feces and electrolytes."
Transformer,A transformer is a device that moves electrical energy from one circuit to another through electromagnetism and without change in frequency. They are an important part of electrical systems.
Base (chemistry),"A base is a substance that can accept a hydrogen ion (H+) from another substance. A chemical can accept a proton if it has a negative charge, or if the molecule has an electronegative atom like oxygen, nitrogen, or chlorine that is rich in electrons. Like acids, some bases are strong and others are weak. The weak bases are less likely to accept protons, while the strong bases quickly take protons in solution or from other molecules."
Messenger RNA,Transcription is when RNA is made from DNA. The information is copied from one molecule to the other. The DNA sequence is copied by a special enzyme called RNA polymerase to make a matching RNA strand.
Chromosome,The chromosomes of a cell are in the cell nucleus. They carry the genetic information. Chromosomes are made up of DNA and protein combined as chromatin. Each chromosome contains many genes. Chromosomes come in pairs: one set from the mother; the other set from the father. Cytologists label chromosomes with numbers.
C (programming language),"The C programming language is a computer programming language that was developed to do system programming for the operating system UNIX and is an imperative programming language. C was developed in the early 1970 by Ken Thompson and Dennis Ritchie. It is a procedural language, which means that people can write their programs as a series of step-by-step instructions. C is a compiled language."
Parallel (geometry),"Parallel is a term in geometry and in everyday life that refers to a property of lines or planes. Parallel lines or planes are next to each other, but never touch each other. This means they never intersect at any points. The slopes of parallel lines are always equal."
Nephron,"Nephrons are tiny tubules (miniature tubes) which make up the smallest working part of the kidney. In other words, they are the smallest level where the kidney removes waste, excess salt and excess water. Each nephron starts in the cortex of the kidney, then goes into the medulla of the kidney, before coming back to the cortex, then goes through the medulla into the pelvis. In the pelvis, the nephrons join up with the ureter."
Cygnus (constellation),"Cygnus is a constellation in the northern sky. Cygnus means ""swan"" in Greek.  There is a pattern of stars in Cygnus that is called the Northern Cross.  This is because the pattern of stars looks like a cross.  The constellation Crux (constellation) has a pattern of stars that is called the Southern Cross.  The astronomer Ptolemy listed Cygnus in the 2nd century when he made a list of constellations."
Cell membrane,The cell membrane is a thin flexible layer around the cells of all living things. It is sometimes called the plasma membrane.
Maxwell's equations,"In the 1860s James Clerk Maxwell published equations that describe how charged particles give rise to electric and magnetic force per unit charge. The force per unit charge is called a ""field"". The particles could be stationary or moving. These, together with the  Lorentz force equation, provide everything you need to calculate the motion of particles in electric and magnetic fields."
Ice,::For water in its liquid state see Water
Variance,The variance in probability theory and statistics is a way to measure how far a set of numbers is spread out.
Perfect number,"A number is called a perfect number if by adding all the positive divisors of the number (except itself), the result is the number itself."
Corona,"A corona is an aura of plasma which surrounds the sun and other stars. The Sun's corona extends millions of kilometres into space and is most easily seen during a total solar eclipse. It is also observable with a device called a coronagraph. The word ""corona"" is a Latin word meaning ""crown"", from the Ancient Greek κορώνη (korōnē, “garland, wreath”)."
Anemia,Anemia (U.S. spelling) or anaemia means not having enough red blood cells or hemoglobin in the blood.
Fuel cell,"A fuel cell converts the element hydrogen into electricity by mixing it with oxygen, which then creates water. It is like a battery that is constantly fed with fuel. It is an important part of the hydrogen economy. Note, that, unlike oil, hydrogen is not found in nature and is not an energy source, but an energy carrier. It has to be produced first, and if this is done by burning fossil fuels, it does not help against climate change. But, the hydrogen fuel cell will help against climate change in future, because scientists are trying to find new ways to make hydrogen without using fossil fuels."
Diode,A diode is an electronic component with two electrodes (connectors). It allows electricity to go through it only in one direction.
Lung,"The lung is an organ in many vertebrates (animals having a spine, or backbone). It gives blood oxygen from the air, and takes away carbon dioxide. Most vertebrates have 2 lungs."
Gustav Kirchhoff,"Gustav Robert Kirchhoff (12 March 1824 – 17 October 1887) was a German physicist who contributed to the fundamental understanding of electrical circuits, spectroscopy, and radiation by heated objects. He coined the term black body radiation in 1862."
Scapula,The scapula is the shoulder blade or pectoral girdle bone in tetrapods. It connects to the humerus and the clavicle.
Malaria,Malaria is an infectious disease caused by a parasite: it is spread by the bite of an infected mosquito. People catch malaria when the parasite enters the blood. The parasite causes a deadly infection which kills many people each year.
Folic acid,"Folic acid (also known as vitamin B9, vitamin Bc or folacin) and folate, as well as pteroyl-L-glutamic acid, pteroyl-L-glutamate, and pteroylmonoglutamic acid are forms of the water-soluble vitamin B9. Folic acid is itself not biologically active, but its biological importance is due to tetrahydrofolate and other derivatives after its conversion to dihydrofolic acid in the liver."
Slime mold,"Slime moulds, or slime molds, are forms of life which live on the rainforest floor, and many other parts of the world. They slither over ground and fallen tree trunks in search of food. They scatter spores, like plants, which grow into new slime moulds."
Caffeine,"Caffeine is a drug (or chemical) in plants. In enormous amounts (Typically around 60-70 cups of coffee in five minutes or 6000-8000mg at once)  it can kill humans and other animals. Even small amounts can kill some animals, such as dogs."
Lightning,":For the NHL team, see Tampa Bay Lightning"
Max Born,Max Born (11 December 1882 – 5 January 1970) was a German physicist and mathematician who was important in the development of quantum mechanics. He also made contributions to solid-state physics and optics and supervised the work of a number of important physicists in the 1920s and 30s. Born became a British subject in 1939. He won the 1954 Nobel Prize in Physics.
Even number,"An even number is an integer which is ""evenly divisible"" by two. This means that if the integer is divided by 2, it yields no remainder. Zero is an even number because zero divided by two equals zero. Even numbers can be either positive or negative. You can tell if any decimal number is an even number if its final digit is an even number."
Vulcanization,"Vulcanization is a kind of chemical reaction between sulphur, or another agent, and natural rubber. It makes cross-links between the molecular chains in the rubber. The reaction is not reversible."
Zinc finger,Zinc finger nucleases (or ZFN) are a tool used to target genes and change DNA. It is one of three methods of changing the genome with engineered nucleases.
Nylon,"Nylon is an artificial fibre. It is one of the most commonly used polyamides, and was first produced on February 28, 1935."
Protein folding,"Protein folding is the process by which a protein gets its functional shape or 'conformation'. It is mainly a self-organising process. Starting from a random coil, polypeptides fold into their characteristic working shape. The structure is held together by hydrogen bonds."
Saturation (chemistry),The term saturation in chemistry is used in several ways:
Cancer,"Cancer is a type of disease where cells go out of control, divide and invade other tissues.  In a person without cancer, cell division is under control. In most tissues, healthy cells divide in a controlled way and copy themselves to create new healthy cells.  With cancer, this normal process of cell division goes out of control. Cells change their nature because mutations have occurred in their genes. All the daughter cells of cancer cells are also cancerous."
Sigmatropic reaction,"A sigmatropic reaction in organic chemistry is a pericyclic reaction. A sigmatropic reaction does not use a catalyst and involves a single molecule (an uncatalyzed intramolecular process). It changes one σ-bond into a different σ-bond. The name sigmatropic is the result of a compounding of the long-established ""sigma"" name for single carbon-carbon bonds and the Greek word tropos, meaning turn.  This is a rearrangement reaction which means that the bonds in a molecule shift between atoms without any atoms leaving or new atoms added to the molecule. In a sigmatropic reaction, a substituent moves from one part of a π-bonded system to another part in an intramolecular reaction with simultaneous rearrangement of the π system. True sigmatropic reactions usually do not need a catalyst. Some sigmatropic reactions are catalyzed by a Lewis acid.  Sigmatropic reactions often have transition-metal catalysts that form intermediates in analogous reactions.  The most well-known of the sigmatropic rearrangements are the [3,3] Cope rearrangement, Claisen rearrangement, Carroll rearrangement and the Fischer indole synthesis."
Amylase,Amylase  is an enzyme. It is found in saliva and pancreatic juice. It can break down starch into maltose. It stops working at 120°C. It works in the mouth and small intestine during digestion.
Max Planck,"Max Karl Ernst Ludwig Planck (April 23, 1858 in Kiel - October 4, 1947 in Göttingen) was a physicist from Germany. He discovered quantum mechanics. He won the Nobel Prize in physics."
Cyanobacteria,"Cyanobacteria are a taxon of bacteria which conduct photosynthesis. They are not algae, though they were once called blue-green algae. It is a phylum of bacteria, with about 1500 species. In endosymbiont theory, chloroplasts (plastids) are descended from cyanobacteria. Their DNA profile is evidence for this."
Dipole,"Dipole can mean two things in physics. The first is an electric dipole which separates the positive charge from the negative charge. A simple example of this dipole is a pair of electric charges with the same magnitude but with the opposite type of charge (positive and negative) and are separated by a small distance from each other. The second is a magnetic dipole, a closed circulation of electric current. A simple example is a single loop of wire with electric current flowing through it."
DDT,"DDT is a well-known pesticide. The abbreviation stands for Dichloro-Diphenyl-Trichloroethane, one of its names. The Swiss chemist Paul Hermann Müller was awarded the Nobel Prize in Physiology or Medicine in 1948, for his discovery. In the 1960s there was a study that questioned if it was good to spread large amounts of DDT indiscriminately. The study also found that DDT could cause cancer. DDT is also highly poisonous to birds and other animals further up the food chain. This is why DDT was replaced by other pesticides. The Stockholm Convention which took effect in 2004, restricts the use of DDT to vector control. The convention does not affect the use of DDT for public health issues. This is because there are very few affordable alternatives. DDT is still widely used in India, North Korea and possibly elsewhere."
Vascular cambium,The vascular cambium is a  meristem.
ENIAC,"ENIAC (which meant ""Electronic Numerical Integrator And Computer"") was a computer built in 1943. It was designed by two people called John Mauchly and J. Presper Eckert. The machine was built out of nearly 17,500 vacuum tubes, 7,200 diodes and many miles of wire. It took up  of space, which is the size of a large room."
Olympus Mons,"Olympus Mons is a volcano on Mars. It is the tallest volcano, and mountain, in the solar system."
Dirac equation,"The Dirac equation is an equation from quantum mechanics. Paul Dirac formulated the equation in 1928. The equation describes the behaviour of fermions (e.g. electrons), and takes special relativity into account. The equation showed the existence of antimatter. "
Damping,"In physics, damping is any effect that tends to reduce the amplitude of vibrations."
Bacterial conjugation,Bacterial conjugation is the transfer of genetic material between bacterial cells by direct cell-to-cell contact or by a bridge-like connection between two cells.
Gram staining,"Gram staining (or Gram's method) is a way of classifying bacteria into two large groups: gram-positive and gram-negative. The name comes from its inventor, Hans Christian Gram."
Moraine,Moraines are accumulations of debris that are found in regions where there are glaciers or were glaciers formerly.
Aldol reaction,The aldol reaction is a very important reaction in organic chemistry. It allows to form new carbon-carbon bonds. It was discovered in 1872.
Beta decay,"In nuclear physics, beta decay is a type of radioactive decay where a beta particle (an electron or a positron) is made and sent away, or emitted. When it is an electron, it is called beta minus, but when it is a positron, it's called a beta plus. The weak force makes Beta decay possible."
Lens (anatomy),"The crystalline lens is a transparent, biconvex  structure in the eye. With the cornea it helps to refract light to be focused on the retina. The lens changes shape. This changes the focal distance of the eye so that it can focus on objects at various distances. This adjustment of the lens is called accommodation. It is similar to the focusing of a photographic camera when it focuses its lenses. The lens is flatter on the inside."
Osmium,Osmium is a chemical element. It is element number 76 on the periodic table. Its symbol is Os.
Asexual reproduction,Asexual reproduction is reproduction without sex.
Pollen,"Pollen is a powder made of pollen grains, which produce sperm cells (male cells used for reproduction) of seed plants. The pollen grains are actually haploid male gametophytes."
Chaos theory,Chaos theory is a part of mathematics. It looks at certain systems that are very sensitive. A very small change may make the system behave completely differently.
Antimony,Antimony is a chemical element. It has the chemical symbol Sb. The symbol Sb is from the Latin name of 'stibium' for the element. It has the atomic number 51. Its atomic mass is 121.8. It is a blue-gray element that is somewhat toxic.
Solar flare,"A solar flare or solar limb is a sudden brightening observed over the Sun's surface. It is a large energy release of up to 6 × 1025 joules of energy. The energy is about a sixth of the total energy that is released from the Sun each second or 160,000,000,000 megatons of TNT. It can also be compared with the impact of Comet Shoemaker-Levy 9 with Jupiter. The release is then followed by a colossal coronal mass ejection also known as a CME. The first flare releases clouds of electrons, ions, and atoms through the corona of the Sun into space. These clouds usually reach planet Earth a day or two after this has happened. A solar flare is sometimes referred to another phenomena in other stars, such as stellar flare."
Wormhole,A wormhole is a theoretical connection between a black hole and a white hole creating a shortcut through time and space.
Centriole,The centriole is a cytoplasmic structure in most eukaryote cells. It is involved in cell division and in the formation of cilia and flagella. Centrioles are not found in vascular plants and in most fungi.
The House of the Seven Gables,"The House of the Seven Gables is a novel written by Nathaniel Hawthorne. It was published in 1851. The book is about an old New England family. Themes include guilt, revenge, and atonement. The supernatural and witchcraft are a part of the story. An old house in Salem, Massachusetts was used as background for the story. The house belonged to Hawthorne's cousin Susanna Ingersoll. He visited the house often. He was also inspired by his ancestors. They played a part in the Salem Witch Trials of 1692. The book was well received. The House of the Seven Gables has been adapted to movies and television shows."
